Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc
01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1315,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),29,M,B,101,STREET
01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1015,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),58,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1830,1,Central,624,BATTERY - SIMPLE ASSAULT,24,M,H,102,SIDEWALK
01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1200,1,Central,761,BRANDISH WEAPON,51,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1550,1,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",41,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1839,1,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),32,M,W,122,"VEHICLE, PASSENGER/TRUCK"
01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1800,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,H,406,OTHER STORE
01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1800,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,W,406,OTHER STORE
01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1850,1,Central,210,ROBBERY,28,M,H,101,STREET
01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2100,1,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,101,STREET
01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2220,1,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,M,H,101,STREET
01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1645,1,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",57,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2100,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),27,F,H,210,RESTAURANT/FAST FOOD
01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2200,1,Central,330,BURGLARY FROM VEHICLE,30,F,H,101,STREET
01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1630,1,Central,330,BURGLARY FROM VEHICLE,30,M,B,101,STREET
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,500,1,Central,330,BURGLARY FROM VEHICLE,31,M,B,101,STREET
01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1840,1,Central,330,BURGLARY FROM VEHICLE,0,X,X,108,PARKING LOT
06/10/2020 12:00:00 AM,06/10/2020 12:00:00 AM,1900,4,Hollenbeck,210,ROBBERY,24,F,H,501,SINGLE FAMILY DWELLING
02/17/2020 12:00:00 AM,02/16/2020 12:00:00 AM,2350,7,Wilshire,624,BATTERY - SIMPLE ASSAULT,29,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,1310,7,Wilshire,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),47,F,A,101,STREET
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,40,1,Central,624,BATTERY - SIMPLE ASSAULT,48,F,B,102,SIDEWALK
09/06/2020 12:00:00 AM,09/05/2020 12:00:00 AM,1500,21,Topanga,510,VEHICLE - STOLEN,0,,,108,PARKING LOT
10/20/2020 12:00:00 AM,09/18/2020 12:00:00 AM,1400,8,West LA,354,THEFT OF IDENTITY,32,F,O,501,SINGLE FAMILY DWELLING
09/19/2020 12:00:00 AM,09/19/2020 12:00:00 AM,1040,3,Southwest,210,ROBBERY,23,M,B,101,STREET
02/07/2020 12:00:00 AM,02/06/2020 12:00:00 AM,1800,3,Southwest,510,VEHICLE - STOLEN,0,,,101,STREET
09/17/2020 12:00:00 AM,09/17/2020 12:00:00 AM,2255,5,Harbor,901,VIOLATION OF RESTRAINING ORDER,46,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1230,1,Central,624,BATTERY - SIMPLE ASSAULT,40,F,H,101,STREET
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,500,1,Central,624,BATTERY - SIMPLE ASSAULT,57,F,O,102,SIDEWALK
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1630,1,Central,330,BURGLARY FROM VEHICLE,32,M,H,108,PARKING LOT
11/08/2020 12:00:00 AM,11/07/2020 12:00:00 AM,1000,8,West LA,886,DISTURBING THE PEACE,58,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
11/28/2020 12:00:00 AM,11/28/2020 12:00:00 AM,315,18,Southeast,901,VIOLATION OF RESTRAINING ORDER,25,F,H,501,SINGLE FAMILY DWELLING
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1238,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,X,402,MARKET
01/04/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2130,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),18,M,H,834,LA UNION STATION (NOT LINE SPECIFIC)
01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2130,1,Central,330,BURGLARY FROM VEHICLE,25,M,O,101,STREET
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1558,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,X,404,DEPARTMENT STORE
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1300,1,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),37,F,W,517,MISSIONS/SHELTERS
03/26/2020 12:00:00 AM,03/26/2020 12:00:00 AM,1435,4,Hollenbeck,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",23,M,H,102,SIDEWALK
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1755,1,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,X,404,DEPARTMENT STORE
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,15,1,Central,888,TRESPASSING,67,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,200,1,Central,624,BATTERY - SIMPLE ASSAULT,26,M,H,203,OTHER BUSINESS
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1700,1,Central,330,BURGLARY FROM VEHICLE,47,M,H,707,GARAGE/CARPORT
01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2345,1,Central,624,BATTERY - SIMPLE ASSAULT,21,F,H,834,LA UNION STATION (NOT LINE SPECIFIC)
